time,humidity,pressure
05/29 14:00,60,1004.9
05/29 14:10,60,1004.8
05/29 14:20,59,1004.7
05/29 14:30,59,1004.7
05/29 14:40,59,1004.8
05/29 14:50,60,1004.9
05/29 15:00,62,1005.0
05/29 15:10,62,1005.0
05/29 15:20,63,1004.9
05/29 15:30,62,1004.9
05/29 15:40,63,1004.9
05/29 15:50,63,1004.8
05/29 16:00,62,1004.8
05/29 16:10,62,1004.9
05/29 16:20,65,1004.9
05/29 16:30,64,1004.9
05/29 16:40,64,1005.0
05/29 16:50,65,1005.1
05/29 17:00,65,1005.1
05/29 17:10,65,1005.3
05/29 17:20,66,1005.4
05/29 17:30,65,1005.4
05/29 17:40,69,1007.7
05/29 17:50,67,1007.7
05/29 18:00,69,1007.8
05/29 18:10,70,1007.9
05/29 18:20,70,1007.9
05/29 18:30,73,1008.1
05/29 18:40,69,1006.0
05/29 18:50,70,1006.0
05/29 19:00,69,1006.1
05/29 19:10,68,1006.0
05/29 19:20,70,1006.1
05/29 19:30,71,1006.2
05/29 19:40,70,1006.2
05/29 19:50,69,1006.2
05/29 20:00,70,1006.2
05/29 20:10,70,1006.2
05/29 20:20,72,1006.4
05/29 20:30,73,1006.4
05/29 20:40,72,1006.3
05/29 20:50,73,1006.3
05/29 21:00,76,1006.4
05/29 21:10,76,1006.6
05/29 21:20,77,1006.5
05/29 21:30,78,1006.6
05/29 21:40,79,1006.7
05/29 21:50,80,1006.8
05/29 22:00,80,1006.8
05/29 22:10,81,1006.8
05/29 22:20,80,1006.9
05/29 22:30,81,1007.0
05/29 22:40,81,1007.0
05/29 22:50,82,1006.9
05/29 23:00,83,1006.9
05/29 23:10,84,1006.8
05/29 23:20,84,1006.7
05/29 23:30,85,1006.6
05/29 23:40,85,1006.4
05/29 23:50,85,1006.3
05/30 00:00,85,1006.2
05/30 00:10,85,1006.0
05/30 00:20,85,1005.9
05/30 00:30,86,1006.0
05/30 00:40,86,1006.0
05/30 00:50,86,1006.0
05/30 01:00,87,1006.0
05/30 01:10,88,1005.8
05/30 01:20,88,1005.7
05/30 01:30,88,1005.7
05/30 01:40,87,1005.6
05/30 01:50,88,1005.6
05/30 02:00,88,1005.5
05/30 02:10,87,1005.4
05/30 02:20,87,1005.3
05/30 02:30,88,1005.3
05/30 02:40,89,1005.3
05/30 02:50,88,1005.3
05/30 03:00,89,1005.4
05/30 03:10,90,1005.4
05/30 03:20,90,1005.4
05/30 03:30,89,1005.5
05/30 03:40,89,1005.7
05/30 03:50,89,1005.9
05/30 04:00,89,1005.9
05/30 04:10,89,1005.9
05/30 04:20,88,1006.0
05/30 04:30,89,1006.0
05/30 04:40,88,1006.0
05/30 04:50,89,1006.1
05/30 05:00,89,1006.4
05/30 05:10,90,1006.5
05/30 05:20,90,1006.6
05/30 05:30,90,1006.8
05/30 05:40,90,1006.9
05/30 05:50,89,1006.9
05/30 06:00,88,1006.9
05/30 06:10,86,1006.9
05/30 06:20,87,1007.0
05/30 06:30,86,1007.1
05/30 06:40,86,1006.9
05/30 06:50,85,1006.9
05/30 07:00,84,1006.9
05/30 07:10,83,1006.9
05/30 07:20,82,1006.7
05/30 07:30,77,1006.8
05/30 07:40,73,1006.7
05/30 07:50,72,1006.7
05/30 08:00,70,1006.6
05/30 08:10,67,1006.5
05/30 08:20,67,1006.5
05/30 08:30,65,1006.4
05/30 08:40,65,1006.5
05/30 08:50,65,1006.4
05/30 09:00,63,1006.5
05/30 09:10,63,1006.4
05/30 09:20,61,1006.4
05/30 09:30,60,1006.3
05/30 09:40,60,1006.2
05/30 09:50,60,1006.2
05/30 10:00,60,1006.2
05/30 10:10,61,1006.2
05/30 10:20,58,1006.0
05/30 10:30,58,1005.9
05/30 10:40,60,1005.9
05/30 10:50,61,1005.9
05/30 11:00,63,1005.9
05/30 11:10,65,1005.9
05/30 11:20,63,1005.9
05/30 11:30,63,1005.9
05/30 11:40,65,1005.9
05/30 11:50,66,1005.7
05/30 12:00,66,1005.6
05/30 12:10,67,1005.5
05/30 12:20,67,1005.5
05/30 12:30,68,1005.5
05/30 12:40,67,1005.4
05/30 12:50,67,1005.4
05/30 13:00,67,1005.2
05/30 13:10,65,1005.0
05/30 13:20,66,1004.8
05/30 13:30,65,1004.6
05/30 13:40,66,1004.5
05/30 13:50,66,1004.5
05/30 14:00,65,1004.5
05/30 14:10,65,1004.5
05/30 14:20,64,1004.4
05/30 14:30,63,1004.4
05/30 14:40,64,1004.5
05/30 14:50,62,1004.5
