time,humidity,pressure,temperature
06/01 00:40,96,1008.9,24.9
06/01 00:50,97,1009.0,24.9
06/01 01:00,97,1008.9,24.9
06/01 01:10,97,1008.9,24.9
06/01 01:20,96,1008.9,24.9
06/01 01:30,97,1008.7,24.8
06/01 01:40,96,1008.6,24.8
06/01 01:50,97,1008.6,24.7
06/01 02:00,96,1008.6,24.7
06/01 02:10,95,1008.5,24.8
06/01 02:20,94,1008.4,24.9
06/01 02:30,94,1008.3,24.8
06/01 02:40,93,1008.3,24.9
06/01 02:50,92,1008.4,24.9
06/01 03:00,92,1008.3,24.9
06/01 03:10,93,1008.1,24.8
06/01 03:20,92,1008.0,24.8
06/01 03:30,92,1007.9,24.8
06/01 03:40,94,1008.0,24.6
06/01 03:50,95,1008.0,24.5
06/01 04:00,96,1008.1,24.4
06/01 04:10,95,1008.1,24.6
06/01 04:20,94,1008.1,24.7
06/01 04:30,94,1008.0,24.6
06/01 04:40,93,1007.9,24.7
06/01 04:50,94,1007.9,24.6
06/01 05:00,95,1007.9,24.4
06/01 05:10,95,1007.9,24.4
06/01 05:20,96,1007.8,24.3
06/01 05:30,96,1007.9,24.3
06/01 05:40,97,1008.0,24.3
06/01 05:50,97,1008.0,24.3
06/01 06:00,97,1008.2,24.5
06/01 06:10,96,1008.3,24.5
06/01 06:20,95,1008.4,24.7
06/01 06:30,94,1008.4,24.9
06/01 06:40,93,1008.6,25.0
06/01 06:50,92,1008.6,25.1
06/01 07:00,90,1008.6,25.5
06/01 07:10,88,1008.5,25.9
06/01 07:20,86,1008.5,26.3
06/01 07:30,84,1008.6,26.4
06/01 07:40,82,1008.5,26.8
06/01 07:50,80,1008.5,27.1
06/01 08:00,80,1008.5,27.6
06/01 08:10,79,1008.4,27.9
06/01 08:20,79,1008.2,28.1
06/01 08:30,77,1008.2,28.7
06/01 08:40,75,1008.2,28.9
06/01 08:50,73,1008.1,29.4
06/01 09:00,71,1008.2,29.8
06/01 09:10,70,1008.1,30.1
06/01 09:20,69,1008.0,30.2
06/01 09:30,68,1007.9,30.8
06/01 09:40,66,1008.0,30.7
06/01 09:50,64,1008.0,31.0
06/01 10:00,62,1008.0,31.4
06/01 10:10,62,1007.8,32.0
06/01 10:20,60,1007.8,32.4
06/01 10:30,61,1007.6,32.3
06/01 10:40,61,1007.6,32.1
06/01 10:50,61,1007.5,32.2
06/01 11:00,61,1007.3,32.6
06/01 11:10,62,1007.2,32.9
06/01 11:20,60,1007.0,32.7
06/01 11:30,61,1006.9,32.6
06/01 11:40,62,1006.9,32.6
06/01 11:50,61,1006.7,32.5
06/01 12:00,61,1006.6,32.7
06/01 12:10,66,1006.6,32.1
06/01 12:20,65,1006.6,32.4
06/01 12:30,64,1006.5,32.5
06/01 12:40,65,1006.3,32.4
06/01 12:50,65,1006.3,32.2
06/01 13:00,63,1006.2,32.7
06/01 13:10,64,1006.2,32.2
06/01 13:20,64,1006.0,32.6
06/01 13:30,65,1006.0,32.8
06/01 13:40,66,1005.9,32.3
06/01 13:50,65,1005.8,32.6
06/01 14:00,65,1005.8,32.4
06/01 14:10,65,1005.8,32.6
06/01 14:20,-,-,
06/01 14:30,63,1005.3,33.2
06/01 14:40,62,1005.2,33.3
06/01 14:50,62,1005.1,33.0
06/01 15:00,62,1005.0,33.3
06/01 15:10,62,1004.9,32.7
06/01 15:20,63,1004.9,32.3
06/01 15:30,63,1004.8,32.7
06/01 15:40,64,1004.8,32.5
06/01 15:50,64,1004.7,32.5
06/01 16:00,66,1004.5,32.0
06/01 16:10,67,1004.3,32.0
06/01 16:20,68,1004.2,31.8
06/01 16:30,68,1004.2,31.8
06/01 16:40,67,1004.2,31.7
06/01 16:50,68,1004.3,31.2
06/01 17:00,67,1004.4,31.8
06/01 17:10,68,1004.5,31.4
06/01 17:20,69,1004.4,30.8
06/01 17:30,69,1004.4,31.0
06/01 17:40,71,1004.5,30.6
06/01 17:50,71,1004.7,31.1
06/01 18:00,70,1004.9,30.7
06/01 18:10,68,1005.1,31.3
06/01 18:20,69,1005.1,30.9
06/01 18:30,69,1005.2,30.7
06/01 18:40,67,1005.2,31.0
06/01 18:50,68,1005.4,30.9
06/01 19:00,68,1005.5,30.7
06/01 19:10,68,1005.5,30.6
06/01 19:20,69,1005.7,30.4
06/01 19:30,69,1005.6,30.2
06/01 19:40,70,1005.3,30.1
06/01 19:50,70,1005.4,30.1
06/01 20:00,70,1005.4,29.9
06/01 20:10,71,1005.5,29.8
06/01 20:20,71,1005.7,29.8
06/01 20:30,72,1005.8,29.7
06/01 20:40,72,1005.9,29.7
06/01 20:50,73,1006.1,29.6
06/01 21:00,74,1006.1,29.3
06/01 21:10,75,1006.1,29.3
06/01 21:20,75,1006.2,29.2
06/01 21:30,76,1006.4,29.2
06/01 21:40,76,1006.6,29.2
06/01 21:50,77,1006.6,29.1
06/01 22:00,77,1006.6,29.1
06/01 22:10,78,1006.5,29.0
06/01 22:20,77,1006.4,29.0
06/01 22:30,77,1006.5,29.0
06/01 22:40,77,1006.4,29.0
